"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"DJ LeMahieu","NYY","28","128","1","19","7","1","12.5%","15.6%",".072",".333",".279",".375",".351",".330",".356","116","-0.9","1.5","0.7","0.7","9874"
"David Peralta","ARI","29","117","3","15","22","1","8.5%","12.8%",".196",".315",".290",".350",".486",".355",".328","122","0.0","3.2","-0.5","0.7","2136"
"Pete Alonso","NYM","26","103","5","14","16","0","10.7%","26.2%",".236",".345",".281",".369",".517",".381",".387","145","-0.4","5.4","-2.4","0.7","19251"
"Asdrubal Cabrera","ARI","26","104","2","14","12","0","17.3%","17.3%",".153",".303",".259",".385",".412",".351",".332","119","-0.1","2.4","0.5","0.6","4962"
"Willson Contreras","CHC","29","109","7","17","16","2","9.2%","30.3%",".250",".241",".217",".321",".467",".338",".337","113","0.0","1.7","0.8","0.6","11609"
"Manuel Margot","TBR","29","101","3","12","16","2","6.9%","18.8%",".161",".292",".258",".307",".419",".315",".340","110","0.2","1.3","1.3","0.6","14712"
"Corey Seager","LAD","30","138","4","17","18","1","11.6%","17.4%",".183",".283",".250",".348",".433",".341",".390","118","-1.0","2.2","-0.6","0.6","13624"
"Garrett Hampson","COL","29","121","3","22","11","7","7.4%","22.3%",".167",".313",".259",".317",".426",".321",".295","88","1.2","-0.6","2.7","0.6","19262"
"Gleyber Torres","NYY","28","120","0","10","7","2","13.3%","15.8%",".048",".294",".240",".342",".288",".292",".326","90","0.3","-1.1","2.9","0.6","16997"
"Jake Cronenworth","SDP","32","135","2","15","9","3","8.9%","14.1%",".119",".296",".263",".338",".381",".313",".321","99","0.5","0.4","1.0","0.6","18036"
"Ozzie Albies","ATL","28","117","5","17","14","1","8.5%","15.4%",".243",".232",".233",".308",".476",".335",".391","109","0.6","1.9","0.1","0.6","16556"
"Dylan Carlson","STL","31","120","3","20","15","0","9.2%","25.8%",".190",".356",".276",".350",".467",".349",".308","122","0.6","4.0","-2.3","0.6","20126"
"Tyler Naquin","CIN","25","91","6","11","19","2","11.0%","23.1%",".260",".275",".260",".363",".519",".376",".412","134","-0.2","3.7","-1.3","0.6","13359"
"Austin Riley","ATL","30","110","3","16","7","0","10.0%","23.6%",".118",".385",".301",".400",".419",".363",".348","126","-0.5","3.2","-1.5","0.5","18360"
"Andrew Benintendi","KCR","27","112","3","18","10","5","9.8%","18.8%",".139",".338",".287",".357",".426",".345",".353","124","-1.2","2.0","-0.6","0.5","17901"
"Yandy Diaz","TBR","30","120","0","8","8","0","18.3%","13.3%",".031",".313",".260",".408",".292",".332",".360","122","-1.1","1.9","-0.8","0.5","16578"
"Adam Eaton","CHW","25","108","3","16","18","1","7.4%","25.0%",".158",".262",".211",".299",".368",".297",".303","95","0.6","0.0","1.5","0.5","11205"
"Nick Madrigal","CHW","25","97","0","18","10","1","5.2%","4.1%",".090",".326",".315",".361",".404",".336",".297","122","0.1","2.5","-0.7","0.5","20521"
"Brandon Lowe","TBR","30","125","5","13","14","0","10.4%","30.4%",".174",".242",".193",".296",".367",".297",".345","97","1.0","0.6","0.3","0.5","18882"
"Wil Myers","SDP","31","106","4","14","14","4","12.3%","22.6%",".172",".308",".258",".349",".430",".343",".341","118","-0.4","2.0","-0.4","0.5","10047"
"Randy Arozarena","TBR","28","120","3","17","11","4","8.3%","34.2%",".123",".403",".264",".350",".387",".330",".265","120","0.8","3.6","-2.7","0.5","19290"
"Colin Moran","PIT","30","117","4","9","19","1","8.5%","28.2%",".179",".386",".292",".350",".472",".356",".341","125","0.3","3.9","-2.7","0.5","16909"
"Brandon Belt","SFG","30","101","6","13","18","2","15.8%","32.7%",".250",".283",".226",".347",".476",".357",".368","127","-0.4","3.0","-1.5","0.5","10264"
"Anthony Rizzo","CHC","31","128","5","15","11","3","14.1%","14.8%",".213",".233",".231",".336",".444",".339",".365","113","0.5","2.6","-2.0","0.5","3473"
"Paul DeJong","STL","29","118","7","17","15","0","11.0%","23.7%",".221",".188",".192",".288",".413",".308",".383","96","0.0","-0.6","1.5","0.5","18015"
"Christian Vazquez","BOS","26","104","2","14","10","3","5.8%","19.2%",".113",".316",".268",".308",".381",".301",".288","92","-0.1","-1.1","2.0","0.5","9774"
"Manny Machado","SDP","31","133","4","15","17","5","12.8%","18.8%",".139",".253",".226",".323",".365",".305",".363","94","0.8","-0.2","0.3","0.5","11493"
"Rhys Hoskins","PHI","31","128","8","21","17","1","6.3%","31.3%",".267",".292",".242",".289",".508",".340",".354","114","-0.7","1.5","-1.3","0.4","16472"
"Gio Urshela","NYY","27","107","4","9","16","1","7.5%","23.4%",".163",".329",".276",".327",".439",".333",".351","118","-1.5","0.7","-0.1","0.4","10681"
"Avisail Garcia","MIL","28","113","3","14","16","3","9.7%","26.5%",".120",".338",".260",".336",".380",".315",".376","97","0.4","-0.1","0.5","0.4","5760"
"C.J. Cron","COL","29","109","5","17","15","0","12.8%","24.8%",".204",".361",".290",".394",".495",".389",".410","131","-0.2","4.1","-3.6","0.4","12546"
"Adam Frazier","PIT","29","132","0","15","10","2","8.3%","10.6%",".110",".324",".288",".356",".398",".333",".316","110","0.1","1.8","-2.0","0.4","15223"
"Austin Meadows","TBR","29","127","7","15","17","0","12.6%","22.8%",".255",".208",".208",".323",".462",".340",".397","127","-0.1","3.8","-4.1","0.4","15672"
"Enrique Hernandez","BOS","29","123","4","19","10","0","6.5%","22.8%",".179",".272",".232",".293",".411",".306",".317","95","0.7","0.0","-0.2","0.4","10472"
"Robbie Grossman","DET","30","125","2","10","10","6","18.4%","24.0%",".101",".279",".212",".368",".313",".315",".376","104","0.3","0.9","-1.3","0.4","5254"
"Jeimer Candelario","DET","31","127","3","14","11","0","8.7%","26.0%",".121",".375",".284",".346",".405",".332",".301","116","-0.7","1.7","-2.3","0.4","13621"
"Jose Abreu","CHW","29","125","6","13","22","1","11.2%","28.0%",".189",".235",".208",".304",".396",".307",".325","102","-0.5","-0.3","-0.5","0.4","15676"
"Raimel Tapia","COL","30","118","4","13","19","3","6.8%","11.9%",".128",".326",".312",".356",".440",".348",".304","105","0.1","0.9","-1.3","0.3","14350"
"Phillip Evans","PIT","27","109","4","14","7","1","9.2%","21.1%",".147",".250",".221",".321",".368",".310",".360","96","-0.3","-0.9","0.5","0.3","12950"
"Eric Hosmer","SDP","31","129","3","11","17","3","10.1%","13.2%",".123",".316",".289",".364",".412",".340",".336","117","-0.3","2.4","-3.6","0.3","3516"
"Kyle Tucker","HOU","30","117","5","13","15","2","6.8%","19.7%",".173",".177",".183",".241",".356",".255",".360","69","0.8","-3.4","2.4","0.3","18345"
"Joey Gallo","TEX","31","131","3","17","12","2","19.8%","36.6%",".118",".392",".225",".397",".343",".342",".346","124","-0.2","3.5","-5.0","0.3","14128"
"J.P. Crawford","SEA","32","112","0","13","8","1","8.9%","18.8%",".049",".309",".245",".313",".294",".276",".264","83","-1.6","-3.9","2.7","0.3","15491"
"Maikel Franco","BAL","30","126","3","8","18","0","7.9%","20.6%",".138",".264",".224",".286",".362",".286",".257","86","0.1","-2.0","0.1","0.2","12179"
"Jose Iglesias","LAA","29","112","2","13","8","1","1.8%","17.0%",".083",".318",".275",".295",".358",".287",".297","87","-0.1","-1.8","0.4","0.2","10231"
